Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Mon Dec 4 2017,7:00 PM,Orlando Magic,,Charlotte Hornets,
Mon Dec 4 2017,8:30 PM,Denver Nuggets,,Dallas Mavericks,
Mon Dec 4 2017,7:00 PM,New York Knicks,,Indiana Pacers,
Mon Dec 4 2017,8:00 PM,Minnesota Timberwolves,,Memphis Grizzlies,
Mon Dec 4 2017,8:00 PM,Golden State Warriors,,New Orleans Pelicans,
Mon Dec 4 2017,7:00 PM,Phoenix Suns,,Philadelphia 76ers,
Mon Dec 4 2017,8:30 PM,Detroit Pistons,,San Antonio Spurs,
Mon Dec 4 2017,9:00 PM,Washington Wizards,,Utah Jazz,
Tue Dec 5 2017,8:00 PM,Utah Jazz,,Oklahoma City Thunder,
Tue Dec 5 2017,10:00 PM,Washington Wizards,,Portland Trail Blazers,
Tue Dec 5 2017,7:30 PM,Phoenix Suns,,Toronto Raptors,
Wed Dec 6 2017,7:30 PM,Dallas Mavericks,,Boston Celtics,
Wed Dec 6 2017,8:00 PM,Golden State Warriors,,Charlotte Hornets,
Wed Dec 6 2017,7:00 PM,Sacramento Kings,,Cleveland Cavaliers,
Wed Dec 6 2017,7:00 PM,Chicago Bulls,,Indiana Pacers,
Wed Dec 6 2017,10:30 PM,Minnesota Timberwolves,,Los Angeles Clippers,
Wed Dec 6 2017,8:00 PM,Detroit Pistons,,Milwaukee Bucks,
Wed Dec 6 2017,8:00 PM,Denver Nuggets,,New Orleans Pelicans,
Wed Dec 6 2017,7:30 PM,Memphis Grizzlies,,New York Knicks,
Wed Dec 6 2017,7:00 PM,Atlanta Hawks,,Orlando Magic,
Wed Dec 6 2017,8:30 PM,Miami Heat,,San Antonio Spurs,
Thu Dec 7 2017,10:00 PM,Oklahoma City Thunder,,Brooklyn Nets,
Thu Dec 7 2017,8:00 PM,Los Angeles Lakers,,Philadelphia 76ers,
Thu Dec 7 2017,9:00 PM,Washington Wizards,,Phoenix Suns,
Thu Dec 7 2017,10:30 PM,Houston Rockets,,Utah Jazz,
Fri Dec 8 2017,7:00 PM,Chicago Bulls,,Charlotte Hornets,
Fri Dec 8 2017,7:00 PM,Golden State Warriors,,Detroit Pistons,
Fri Dec 8 2017,7:00 PM,Cleveland Cavaliers,,Indiana Pacers,
Fri Dec 8 2017,8:00 PM,Toronto Raptors,,Memphis Grizzlies,
Fri Dec 8 2017,8:00 PM,Dallas Mavericks,,Milwaukee Bucks,
Fri Dec 8 2017,8:00 PM,Sacramento Kings,,New Orleans Pelicans,
Fri Dec 8 2017,7:00 PM,Denver Nuggets,,Orlando Magic,
Fri Dec 8 2017,9:30 PM,Boston Celtics,,San Antonio Spurs,
Sat Dec 9 2017,7:30 PM,Orlando Magic,,Atlanta Hawks,
Sat Dec 9 2017,6:00 PM,Miami Heat,,Brooklyn Nets,
Sat Dec 9 2017,8:00 PM,New York Knicks,,Chicago Bulls,
Sat Dec 9 2017,7:00 PM,Los Angeles Lakers,,Charlotte Hornets,
Sat Dec 9 2017,8:00 PM,Philadelphia 76ers,,Cleveland Cavaliers,
Sat Dec 9 2017,3:30 PM,Washington Wizards,,Los Angeles Clippers,
Sat Dec 9 2017,9:00 PM,Oklahoma City Thunder,,Memphis Grizzlies,
Sat Dec 9 2017,8:30 PM,Utah Jazz,,Milwaukee Bucks,
Sat Dec 9 2017,9:00 PM,San Antonio Spurs,,Phoenix Suns,
Sat Dec 9 2017,10:00 PM,Houston Rockets,,Portland Trail Blazers,
Sun Dec 10 2017,4:00 PM,Boston Celtics,,Detroit Pistons,
Sun Dec 10 2017,5:00 PM,Denver Nuggets,,Indiana Pacers,
Sun Dec 10 2017,7:00 PM,Dallas Mavericks,,Minnesota Timberwolves,
Sun Dec 10 2017,7:00 PM,Philadelphia 76ers,,New Orleans Pelicans,
Sun Dec 10 2017,7:30 PM,Atlanta Hawks,,New York Knicks,
Sun Dec 10 2017,3:30 PM,Toronto Raptors,,Sacramento Kings,
Mon Dec 11 2017,8:00 PM,Boston Celtics,,Chicago Bulls,
Mon Dec 11 2017,10:30 PM,Portland Trail Blazers,,Golden State Warriors,
Mon Dec 11 2017,8:00 PM,New Orleans Pelicans,,Houston Rockets,
Mon Dec 11 2017,10:30 PM,Toronto Raptors,,Los Angeles Clippers,
Mon Dec 11 2017,8:00 PM,Miami Heat,,Memphis Grizzlies,
Mon Dec 11 2017,8:00 PM,Charlotte Hornets,,Oklahoma City Thunder,
Tue Dec 12 2017,7:30 PM,Washington Wizards,,Brooklyn Nets,
Tue Dec 12 2017,7:00 PM,Atlanta Hawks,,Cleveland Cavaliers,
Tue Dec 12 2017,9:30 PM,San Antonio Spurs,,Dallas Mavericks,
Tue Dec 12 2017,7:00 PM,Denver Nuggets,,Detroit Pistons,
Tue Dec 12 2017,8:00 PM,Philadelphia 76ers,,Minnesota Timberwolves,
Tue Dec 12 2017,7:00 PM,Los Angeles Lakers,,New York Knicks,
Tue Dec 12 2017,10:00 PM,Phoenix Suns,,Sacramento Kings,
Wed Dec 13 2017,7:30 PM,Denver Nuggets,,Boston Celtics,
Wed Dec 13 2017,8:00 PM,Utah Jazz,,Chicago Bulls,
Wed Dec 13 2017,9:30 PM,Charlotte Hornets,,Houston Rockets,
Wed Dec 13 2017,7:00 PM,Oklahoma City Thunder,,Indiana Pacers,
Wed Dec 13 2017,7:30 PM,Portland Trail Blazers,,Miami Heat,
Wed Dec 13 2017,8:00 PM,Milwaukee Bucks,,New Orleans Pelicans,
Wed Dec 13 2017,7:00 PM,Los Angeles Clippers,,Orlando Magic,
Wed Dec 13 2017,9:00 PM,Toronto Raptors,,Phoenix Suns,
Wed Dec 13 2017,7:00 PM,Memphis Grizzlies,,Washington Wizards,
Thu Dec 14 2017,7:30 PM,Detroit Pistons,,Atlanta Hawks,
Thu Dec 14 2017,7:30 PM,New York Knicks,,Brooklyn Nets,
Thu Dec 14 2017,8:00 PM,Los Angeles Lakers,,Cleveland Cavaliers,
Thu Dec 14 2017,10:30 PM,Dallas Mavericks,,Golden State Warriors,
Thu Dec 14 2017,8:00 PM,Sacramento Kings,,Minnesota Timberwolves,
Fri Dec 15 2017,7:30 PM,Utah Jazz,,Boston Celtics,
Fri Dec 15 2017,7:00 PM,Miami Heat,,Charlotte Hornets,
Fri Dec 15 2017,9:00 PM,New Orleans Pelicans,,Denver Nuggets,
Fri Dec 15 2017,9:30 PM,San Antonio Spurs,,Houston Rockets,
Fri Dec 15 2017,7:00 PM,Detroit Pistons,,Indiana Pacers,
Fri Dec 15 2017,8:00 PM,Atlanta Hawks,,Memphis Grizzlies,
Fri Dec 15 2017,8:00 PM,Chicago Bulls,,Milwaukee Bucks,
Fri Dec 15 2017,7:00 PM,Portland Trail Blazers,,Orlando Magic,
Fri Dec 15 2017,7:00 PM,Oklahoma City Thunder,,Philadelphia 76ers,
Fri Dec 15 2017,7:30 PM,Brooklyn Nets,,Toronto Raptors,
Fri Dec 15 2017,7:00 PM,Los Angeles Clippers,,Washington Wizards,
Sat Dec 16 2017,7:00 PM,Portland Trail Blazers,,Charlotte Hornets,
Sat Dec 16 2017,7:30 PM,Utah Jazz,,Cleveland Cavaliers,
Sat Dec 16 2017,8:00 PM,Milwaukee Bucks,,Houston Rockets,
Sat Dec 16 2017,9:00 PM,Boston Celtics,,Memphis Grizzlies,
Sat Dec 16 2017,8:00 PM,Los Angeles Clippers,,Miami Heat,
Sat Dec 16 2017,8:00 PM,Phoenix Suns,,Minnesota Timberwolves,
Sat Dec 16 2017,7:30 PM,Oklahoma City Thunder,,New York Knicks,
Sat Dec 16 2017,8:30 PM,Dallas Mavericks,,San Antonio Spurs,
Sun Dec 17 2017,6:00 PM,Indiana Pacers,,Brooklyn Nets,
Sun Dec 17 2017,4:00 PM,Orlando Magic,,Detroit Pistons,
Sun Dec 17 2017,3:30 PM,Sacramento Kings,,Toronto Raptors,
Sun Dec 17 2017,6:00 PM,Cleveland Cavaliers,,Washington Wizards,
Mon Dec 18 2017,7:30 PM,Miami Heat,,Atlanta Hawks,
Mon Dec 18 2017,8:00 PM,Philadelphia 76ers,,Chicago Bulls,
Mon Dec 18 2017,7:00 PM,New York Knicks,,Charlotte Hornets,
Mon Dec 18 2017,8:30 PM,Phoenix Suns,,Dallas Mavericks,
Mon Dec 18 2017,8:00 PM,Utah Jazz,,Houston Rockets,
Mon Dec 18 2017,7:00 PM,Boston Celtics,,Indiana Pacers,
Mon Dec 18 2017,10:30 PM,Golden State Warriors,,Los Angeles Lakers,
Mon Dec 18 2017,8:00 PM,Portland Trail Blazers,,Minnesota Timberwolves,
Mon Dec 18 2017,8:00 PM,Denver Nuggets,,Oklahoma City Thunder,
Mon Dec 18 2017,8:30 PM,Los Angeles Clippers,,San Antonio Spurs,
Tue Dec 19 2017,8:00 PM,Cleveland Cavaliers,,Milwaukee Bucks,
Tue Dec 19 2017,7:00 PM,Sacramento Kings,,Philadelphia 76ers,
Tue Dec 19 2017,7:00 PM,New Orleans Pelicans,,Washington Wizards,
Wed Dec 20 2017,7:30 PM,Indiana Pacers,,Atlanta Hawks,
Wed Dec 20 2017,7:30 PM,Miami Heat,,Boston Celtics,
Wed Dec 20 2017,7:30 PM,Sacramento Kings,,Brooklyn Nets,
Wed Dec 20 2017,8:00 PM,Orlando Magic,,Chicago Bulls,
Wed Dec 20 2017,7:00 PM,Toronto Raptors,,Charlotte Hornets,
Wed Dec 20 2017,8:30 PM,Detroit Pistons,,Dallas Mavericks,
Wed Dec 20 2017,9:00 PM,Minnesota Timberwolves,,Denver Nuggets,
Wed Dec 20 2017,10:30 PM,Memphis Grizzlies,,Golden State Warriors,
Wed Dec 20 2017,8:00 PM,Los Angeles Lakers,,Houston Rockets,
Wed Dec 20 2017,10:30 PM,Phoenix Suns,,Los Angeles Clippers,
Wed Dec 20 2017,8:00 PM,Utah Jazz,,Oklahoma City Thunder,
Wed Dec 20 2017,10:00 PM,San Antonio Spurs,,Portland Trail Blazers,
Thu Dec 21 2017,7:00 PM,Chicago Bulls,,Cleveland Cavaliers,
Thu Dec 21 2017,8:00 PM,Boston Celtics,,New York Knicks,
Thu Dec 21 2017,7:00 PM,Toronto Raptors,,Philadelphia 76ers,
Thu Dec 21 2017,9:00 PM,Memphis Grizzlies,,Phoenix Suns,
Thu Dec 21 2017,10:30 PM,San Antonio Spurs,,Utah Jazz,
Fri Dec 22 2017,7:30 PM,Washington Wizards,,Brooklyn Nets,
Fri Dec 22 2017,7:00 PM,New York Knicks,,Detroit Pistons,
Fri Dec 22 2017,10:30 PM,Los Angeles Lakers,,Golden State Warriors,
Fri Dec 22 2017,8:00 PM,Los Angeles Clippers,,Houston Rockets,
Fri Dec 22 2017,8:00 PM,Dallas Mavericks,,Miami Heat,
Fri Dec 22 2017,8:00 PM,Charlotte Hornets,,Milwaukee Bucks,
Fri Dec 22 2017,8:00 PM,Atlanta Hawks,,Oklahoma City Thunder,
Fri Dec 22 2017,7:00 PM,New Orleans Pelicans,,Orlando Magic,
Fri Dec 22 2017,10:00 PM,Denver Nuggets,,Portland Trail Blazers,
Sat Dec 23 2017,7:30 PM,Dallas Mavericks,,Atlanta Hawks,
Sat Dec 23 2017,7:30 PM,Chicago Bulls,,Boston Celtics,
Sat Dec 23 2017,7:00 PM,Milwaukee Bucks,,Charlotte Hornets,
Sat Dec 23 2017,8:30 PM,Denver Nuggets,,Golden State Warriors,
Sat Dec 23 2017,7:00 PM,Brooklyn Nets,,Indiana Pacers,
Sat Dec 23 2017,9:30 PM,Portland Trail Blazers,,Los Angeles Lakers,
Sat Dec 23 2017,8:00 PM,Los Angeles Clippers,,Memphis Grizzlies,
Sat Dec 23 2017,8:00 PM,New Orleans Pelicans,,Miami Heat,
Sat Dec 23 2017,9:00 PM,Minnesota Timberwolves,,Phoenix Suns,
Sat Dec 23 2017,10:00 PM,San Antonio Spurs,,Sacramento Kings,
Sat Dec 23 2017,5:00 PM,Philadelphia 76ers,,Toronto Raptors,
Sat Dec 23 2017,8:00 PM,Oklahoma City Thunder,,Utah Jazz,
Sat Dec 23 2017,7:00 PM,Orlando Magic,,Washington Wizards,
Mon Dec 25 2017,5:30 PM,Washington Wizards,,Boston Celtics,
Mon Dec 25 2017,3:00 PM,Cleveland Cavaliers,,Golden State Warriors,
Mon Dec 25 2017,10:30 PM,Minnesota Timberwolves,,Los Angeles Lakers,
Mon Dec 25 2017,12:00 PM,Philadelphia 76ers,,New York Knicks,
Mon Dec 25 2017,8:00 PM,Houston Rockets,,Oklahoma City Thunder,
Tue Dec 26 2017,7:00 PM,Toronto Raptors,,Dallas Mavericks,
Tue Dec 26 2017,9:00 PM,Utah Jazz,,Denver Nuggets,
Tue Dec 26 2017,7:00 PM,Indiana Pacers,,Detroit Pistons,
Tue Dec 26 2017,10:30 PM,Sacramento Kings,,Los Angeles Clippers,
Tue Dec 26 2017,7:30 PM,Orlando Magic,,Miami Heat,
Tue Dec 26 2017,8:00 PM,Chicago Bulls,,Milwaukee Bucks,
Tue Dec 26 2017,9:00 PM,Memphis Grizzlies,,Phoenix Suns,
Tue Dec 26 2017,8:30 PM,Brooklyn Nets,,San Antonio Spurs,
Wed Dec 27 2017,7:30 PM,Washington Wizards,,Atlanta Hawks,
Wed Dec 27 2017,8:00 PM,New York Knicks,,Chicago Bulls,
Wed Dec 27 2017,7:00 PM,Boston Celtics,,Charlotte Hornets,
Wed Dec 27 2017,10:30 PM,Utah Jazz,,Golden State Warriors,
Wed Dec 27 2017,7:00 PM,Dallas Mavericks,,Indiana Pacers,
Wed Dec 27 2017,10:30 PM,Memphis Grizzlies,,Los Angeles Lakers,
Wed Dec 27 2017,8:00 PM,Denver Nuggets,,Minnesota Timberwolves,
Wed Dec 27 2017,8:00 PM,Brooklyn Nets,,New Orleans Pelicans,
Wed Dec 27 2017,8:00 PM,Toronto Raptors,,Oklahoma City Thunder,
Wed Dec 27 2017,10:00 PM,Cleveland Cavaliers,,Sacramento Kings,
Thu Dec 28 2017,8:00 PM,Houston Rockets,,Boston Celtics,
Thu Dec 28 2017,8:00 PM,Minnesota Timberwolves,,Milwaukee Bucks,
Thu Dec 28 2017,7:00 PM,Detroit Pistons,,Orlando Magic,
Thu Dec 28 2017,10:30 PM,Philadelphia 76ers,,Portland Trail Blazers,
Thu Dec 28 2017,8:30 PM,New York Knicks,,San Antonio Spurs,
Fri Dec 29 2017,8:00 PM,Indiana Pacers,,Chicago Bulls,
Fri Dec 29 2017,10:30 PM,Charlotte Hornets,,Golden State Warriors,
Fri Dec 29 2017,10:30 PM,Los Angeles Clippers,,Los Angeles Lakers,
Fri Dec 29 2017,8:00 PM,Brooklyn Nets,,Miami Heat,
Fri Dec 29 2017,8:00 PM,Dallas Mavericks,,New Orleans Pelicans,
Fri Dec 29 2017,8:00 PM,Milwaukee Bucks,,Oklahoma City Thunder,
Fri Dec 29 2017,10:00 PM,Phoenix Suns,,Sacramento Kings,
Fri Dec 29 2017,7:30 PM,Atlanta Hawks,,Toronto Raptors,
Fri Dec 29 2017,7:00 PM,Houston Rockets,,Washington Wizards,
Sat Dec 30 2017,7:30 PM,Portland Trail Blazers,,Atlanta Hawks,
Sat Dec 30 2017,9:00 PM,Philadelphia 76ers,,Denver Nuggets,
Sat Dec 30 2017,7:00 PM,San Antonio Spurs,,Detroit Pistons,
Sat Dec 30 2017,8:30 PM,Memphis Grizzlies,,Golden State Warriors,
Sat Dec 30 2017,7:00 PM,New York Knicks,,New Orleans Pelicans,
Sat Dec 30 2017,7:00 PM,Miami Heat,,Orlando Magic,
Sat Dec 30 2017,8:00 PM,Cleveland Cavaliers,,Utah Jazz,
Sun Dec 31 2017,5:30 PM,Brooklyn Nets,,Boston Celtics,
Sun Dec 31 2017,7:00 PM,Los Angeles Lakers,,Houston Rockets,
Sun Dec 31 2017,5:00 PM,Minnesota Timberwolves,,Indiana Pacers,
Sun Dec 31 2017,7:00 PM,Charlotte Hornets,,Los Angeles Clippers,
Sun Dec 31 2017,7:00 PM,Dallas Mavericks,,Oklahoma City Thunder,
Sun Dec 31 2017,8:00 PM,Philadelphia 76ers,,Phoenix Suns,
Sun Dec 31 2017,7:00 PM,Memphis Grizzlies,,Sacramento Kings,
Sun Dec 31 2017,3:30 PM,Chicago Bulls,,Washington Wizards,
Mon Jan 1 2018,7:30 PM,Orlando Magic,,Brooklyn Nets,
Mon Jan 1 2018,8:00 PM,Portland Trail Blazers,,Chicago Bulls,
Mon Jan 1 2018,8:00 PM,Los Angeles Lakers,,Minnesota Timberwolves,
Mon Jan 1 2018,7:30 PM,Milwaukee Bucks,,Toronto Raptors,
Tue Jan 2 2018,7:00 PM,Portland Trail Blazers,,Cleveland Cavaliers,
Tue Jan 2 2018,10:30 PM,Memphis Grizzlies,,Los Angeles Clippers,
Tue Jan 2 2018,7:30 PM,San Antonio Spurs,,New York Knicks,
Tue Jan 2 2018,9:00 PM,Atlanta Hawks,,Phoenix Suns,
Tue Jan 2 2018,10:00 PM,Charlotte Hornets,,Sacramento Kings,
Wed Jan 3 2018,8:00 PM,Cleveland Cavaliers,,Boston Celtics,
Wed Jan 3 2018,7:30 PM,Minnesota Timberwolves,,Brooklyn Nets,
Wed Jan 3 2018,8:00 PM,Toronto Raptors,,Chicago Bulls,
Wed Jan 3 2018,8:30 PM,Golden State Warriors,,Dallas Mavericks,
Wed Jan 3 2018,9:00 PM,Phoenix Suns,,Denver Nuggets,
Wed Jan 3 2018,10:30 PM,Oklahoma City Thunder,,Los Angeles Lakers,
Wed Jan 3 2018,7:30 PM,Detroit Pistons,,Miami Heat,
Wed Jan 3 2018,8:00 PM,Indiana Pacers,,Milwaukee Bucks,
Wed Jan 3 2018,7:00 PM,Houston Rockets,,Orlando Magic,
Wed Jan 3 2018,7:00 PM,San Antonio Spurs,,Philadelphia 76ers,
Wed Jan 3 2018,9:00 PM,New Orleans Pelicans,,Utah Jazz,
Wed Jan 3 2018,7:00 PM,New York Knicks,,Washington Wizards,
Thu Jan 4 2018,8:00 PM,Golden State Warriors,,Houston Rockets,
Thu Jan 4 2018,10:30 PM,Oklahoma City Thunder,,Los Angeles Clippers,
Fri Jan 5 2018,7:30 PM,Minnesota Timberwolves,,Boston Celtics,
Fri Jan 5 2018,8:30 PM,Chicago Bulls,,Dallas Mavericks,
Fri Jan 5 2018,9:00 PM,Utah Jazz,,Denver Nuggets,
Fri Jan 5 2018,10:30 PM,Charlotte Hornets,,Los Angeles Lakers,
Fri Jan 5 2018,9:30 PM,Washington Wizards,,Memphis Grizzlies,
Fri Jan 5 2018,7:00 PM,New York Knicks,,Miami Heat,
Fri Jan 5 2018,8:00 PM,Toronto Raptors,,Milwaukee Bucks,
Fri Jan 5 2018,7:00 PM,Detroit Pistons,,Philadelphia 76ers,
Fri Jan 5 2018,10:00 PM,Atlanta Hawks,,Portland Trail Blazers,
Fri Jan 5 2018,8:30 PM,Phoenix Suns,,San Antonio Spurs,
Sat Jan 6 2018,6:00 PM,Boston Celtics,,Brooklyn Nets,
Sat Jan 6 2018,7:00 PM,Houston Rockets,,Detroit Pistons,
Sat Jan 6 2018,7:00 PM,Chicago Bulls,,Indiana Pacers,
Sat Jan 6 2018,3:30 PM,Golden State Warriors,,Los Angeles Clippers,
Sat Jan 6 2018,9:00 PM,New Orleans Pelicans,,Minnesota Timberwolves,
Sat Jan 6 2018,7:00 PM,Cleveland Cavaliers,,Orlando Magic,
Sat Jan 6 2018,10:00 PM,Denver Nuggets,,Sacramento Kings,
Sat Jan 6 2018,8:00 PM,Milwaukee Bucks,,Washington Wizards,
Sun Jan 7 2018,7:00 PM,New York Knicks,,Dallas Mavericks,
Sun Jan 7 2018,9:30 PM,Atlanta Hawks,,Los Angeles Lakers,
Sun Jan 7 2018,3:30 PM,Utah Jazz,,Miami Heat,
Sun Jan 7 2018,8:00 PM,Oklahoma City Thunder,,Phoenix Suns,
Sun Jan 7 2018,9:00 PM,San Antonio Spurs,,Portland Trail Blazers,
Mon Jan 8 2018,7:30 PM,Toronto Raptors,,Brooklyn Nets,
Mon Jan 8 2018,8:00 PM,Houston Rockets,,Chicago Bulls,
Mon Jan 8 2018,10:30 PM,Denver Nuggets,,Golden State Warriors,
Mon Jan 8 2018,7:00 PM,Milwaukee Bucks,,Indiana Pacers,
Mon Jan 8 2018,10:30 PM,Atlanta Hawks,,Los Angeles Clippers,
Mon Jan 8 2018,8:00 PM,Cleveland Cavaliers,,Minnesota Timberwolves,
Mon Jan 8 2018,8:00 PM,Detroit Pistons,,New Orleans Pelicans,
Mon Jan 8 2018,10:00 PM,San Antonio Spurs,,Sacramento Kings,
Tue Jan 9 2018,8:30 PM,Orlando Magic,,Dallas Mavericks,
Tue Jan 9 2018,10:30 PM,Sacramento Kings,,Los Angeles Lakers,
Tue Jan 9 2018,8:00 PM,Portland Trail Blazers,,Oklahoma City Thunder,
Tue Jan 9 2018,7:30 PM,Miami Heat,,Toronto Raptors,
Wed Jan 10 2018,7:30 PM,Detroit Pistons,,Brooklyn Nets,
Wed Jan 10 2018,7:00 PM,Dallas Mavericks,,Charlotte Hornets,
Wed Jan 10 2018,9:00 PM,Atlanta Hawks,,Denver Nuggets,
Wed Jan 10 2018,10:30 PM,Los Angeles Clippers,,Golden State Warriors,
Wed Jan 10 2018,8:00 PM,Portland Trail Blazers,,Houston Rockets,
Wed Jan 10 2018,7:00 PM,Miami Heat,,Indiana Pacers,
Wed Jan 10 2018,8:00 PM,New Orleans Pelicans,,Memphis Grizzlies,
Wed Jan 10 2018,8:00 PM,Orlando Magic,,Milwaukee Bucks,
Wed Jan 10 2018,8:00 PM,Oklahoma City Thunder,,Minnesota Timberwolves,
Wed Jan 10 2018,7:30 PM,Chicago Bulls,,New York Knicks,
Wed Jan 10 2018,7:00 PM,Utah Jazz,,Washington Wizards,
Thu Jan 11 2018,10:30 PM,San Antonio Spurs,,Los Angeles Lakers,
Thu Jan 11 2018,3:00 PM,Boston Celtics,,Philadelphia 76ers,
Thu Jan 11 2018,10:00 PM,Los Angeles Clippers,,Sacramento Kings,
Thu Jan 11 2018,8:00 PM,Cleveland Cavaliers,,Toronto Raptors,
Fri Jan 12 2018,7:30 PM,Brooklyn Nets,,Atlanta Hawks,
Fri Jan 12 2018,7:00 PM,Utah Jazz,,Charlotte Hornets,
Fri Jan 12 2018,9:00 PM,Memphis Grizzlies,,Denver Nuggets,
Fri Jan 12 2018,7:00 PM,Cleveland Cavaliers,,Indiana Pacers,
Fri Jan 12 2018,8:00 PM,Golden State Warriors,,Milwaukee Bucks,
Fri Jan 12 2018,8:00 PM,New York Knicks,,Minnesota Timberwolves,
Fri Jan 12 2018,8:00 PM,Portland Trail Blazers,,New Orleans Pelicans,
Fri Jan 12 2018,10:30 PM,Houston Rockets,,Phoenix Suns,
Fri Jan 12 2018,7:00 PM,Orlando Magic,,Washington Wizards,
Sat Jan 13 2018,8:00 PM,Detroit Pistons,,Chicago Bulls,
Sat Jan 13 2018,5:00 PM,Oklahoma City Thunder,,Charlotte Hornets,
Sat Jan 13 2018,2:00 PM,Los Angeles Lakers,,Dallas Mavericks,
Sat Jan 13 2018,3:30 PM,Sacramento Kings,,Los Angeles Clippers,
Sat Jan 13 2018,8:30 PM,Denver Nuggets,,San Antonio Spurs,
Sat Jan 13 2018,7:30 PM,Golden State Warriors,,Toronto Raptors,
Sat Jan 13 2018,7:00 PM,Brooklyn Nets,,Washington Wizards,
Sun Jan 14 2018,1:00 PM,Milwaukee Bucks,,Miami Heat,
Sun Jan 14 2018,9:00 PM,Portland Trail Blazers,,Minnesota Timberwolves,
Sun Jan 14 2018,3:30 PM,New Orleans Pelicans,,New York Knicks,
Sun Jan 14 2018,8:00 PM,Indiana Pacers,,Phoenix Suns,
Mon Jan 15 2018,3:00 PM,San Antonio Spurs,,Atlanta Hawks,
Mon Jan 15 2018,3:00 PM,New York Knicks,,Brooklyn Nets,
Mon Jan 15 2018,3:30 PM,Miami Heat,,Chicago Bulls,
Mon Jan 15 2018,8:00 PM,Golden State Warriors,,Cleveland Cavaliers,
Mon Jan 15 2018,12:30 PM,Charlotte Hornets,,Detroit Pistons,
Mon Jan 15 2018,10:30 PM,Houston Rockets,,Los Angeles Clippers,
Mon Jan 15 2018,5:30 PM,Los Angeles Lakers,,Memphis Grizzlies,
Mon Jan 15 2018,8:00 PM,Sacramento Kings,,Oklahoma City Thunder,
Mon Jan 15 2018,1:00 PM,Toronto Raptors,,Philadelphia 76ers,
Mon Jan 15 2018,9:00 PM,Indiana Pacers,,Utah Jazz,
Mon Jan 15 2018,2:00 PM,Milwaukee Bucks,,Washington Wizards,
Tue Jan 16 2018,7:30 PM,New Orleans Pelicans,,Boston Celtics,
Tue Jan 16 2018,9:00 PM,Dallas Mavericks,,Denver Nuggets,
Tue Jan 16 2018,7:00 PM,Minnesota Timberwolves,,Orlando Magic,
Tue Jan 16 2018,10:00 PM,Phoenix Suns,,Portland Trail Blazers,
Wed Jan 17 2018,7:30 PM,New Orleans Pelicans,,Atlanta Hawks,
Wed Jan 17 2018,7:30 PM,San Antonio Spurs,,Brooklyn Nets,
Wed Jan 17 2018,8:00 PM,Golden State Warriors,,Chicago Bulls,
Wed Jan 17 2018,7:00 PM,Washington Wizards,,Charlotte Hornets,
Wed Jan 17 2018,10:30 PM,Denver Nuggets,,Los Angeles Clippers,
Wed Jan 17 2018,8:00 PM,New York Knicks,,Memphis Grizzlies,
Wed Jan 17 2018,8:00 PM,Miami Heat,,Milwaukee Bucks,
Wed Jan 17 2018,8:00 PM,Los Angeles Lakers,,Oklahoma City Thunder,
Wed Jan 17 2018,10:00 PM,Utah Jazz,,Sacramento Kings,
Wed Jan 17 2018,7:30 PM,Detroit Pistons,,Toronto Raptors,
Thu Jan 18 2018,7:00 PM,Philadelphia 76ers,,Boston Celtics,
Thu Jan 18 2018,7:00 PM,Orlando Magic,,Cleveland Cavaliers,
Thu Jan 18 2018,9:30 PM,Minnesota Timberwolves,,Houston Rockets,
Thu Jan 18 2018,10:00 PM,Indiana Pacers,,Portland Trail Blazers,
Fri Jan 19 2018,7:30 PM,Miami Heat,,Brooklyn Nets,
Fri Jan 19 2018,9:00 PM,Phoenix Suns,,Denver Nuggets,
Fri Jan 19 2018,8:00 PM,Washington Wizards,,Detroit Pistons,
Fri Jan 19 2018,10:30 PM,Indiana Pacers,,Los Angeles Lakers,
Fri Jan 19 2018,8:00 PM,Sacramento Kings,,Memphis Grizzlies,
Fri Jan 19 2018,7:00 PM,San Antonio Spurs,,Toronto Raptors,
Fri Jan 19 2018,10:30 PM,New York Knicks,,Utah Jazz,
Sat Jan 20 2018,5:00 PM,Chicago Bulls,,Atlanta Hawks,
Sat Jan 20 2018,7:00 PM,Miami Heat,,Charlotte Hornets,
Sat Jan 20 2018,3:30 PM,Oklahoma City Thunder,,Cleveland Cavaliers,
Sat Jan 20 2018,8:30 PM,Golden State Warriors,,Houston Rockets,
Sat Jan 20 2018,9:00 PM,Toronto Raptors,,Minnesota Timberwolves,
Sat Jan 20 2018,7:00 PM,Memphis Grizzlies,,New Orleans Pelicans,
Sat Jan 20 2018,7:30 PM,Milwaukee Bucks,,Philadelphia 76ers,
Sat Jan 20 2018,10:00 PM,Dallas Mavericks,,Portland Trail Blazers,
Sat Jan 20 2018,9:00 PM,Los Angeles Clippers,,Utah Jazz,
Sun Jan 21 2018,1:00 PM,Orlando Magic,,Boston Celtics,
Sun Jan 21 2018,4:00 PM,Brooklyn Nets,,Detroit Pistons,
Sun Jan 21 2018,3:30 PM,New York Knicks,,Los Angeles Lakers,
Sun Jan 21 2018,7:00 PM,Indiana Pacers,,San Antonio Spurs,
Mon Jan 22 2018,7:30 PM,Utah Jazz,,Atlanta Hawks,
Mon Jan 22 2018,7:00 PM,Sacramento Kings,,Charlotte Hornets,
