Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Wed Nov 1 2017,7:00 PM,Indiana Pacers,,Cleveland Cavaliers,
Wed Nov 1 2017,9:00 PM,Toronto Raptors,,Denver Nuggets,
Wed Nov 1 2017,10:30 PM,Dallas Mavericks,,Los Angeles Clippers,
Wed Nov 1 2017,8:00 PM,Orlando Magic,,Memphis Grizzlies,
Wed Nov 1 2017,7:30 PM,Chicago Bulls,,Miami Heat,
Wed Nov 1 2017,8:00 PM,Minnesota Timberwolves,,New Orleans Pelicans,
Wed Nov 1 2017,8:00 PM,Houston Rockets,,New York Knicks,
Wed Nov 1 2017,7:00 PM,Atlanta Hawks,,Philadelphia 76ers,
Wed Nov 1 2017,9:00 PM,Portland Trail Blazers,,Utah Jazz,
Wed Nov 1 2017,7:00 PM,Phoenix Suns,,Washington Wizards,
Thu Nov 2 2017,10:30 PM,Los Angeles Lakers,,Portland Trail Blazers,
Thu Nov 2 2017,8:00 PM,Golden State Warriors,,San Antonio Spurs,
Fri Nov 3 2017,7:30 PM,Houston Rockets,,Atlanta Hawks,
Fri Nov 3 2017,8:30 PM,New Orleans Pelicans,,Dallas Mavericks,
Fri Nov 3 2017,9:00 PM,Miami Heat,,Denver Nuggets,
Fri Nov 3 2017,7:00 PM,Milwaukee Bucks,,Detroit Pistons,
Fri Nov 3 2017,10:30 PM,Brooklyn Nets,,Los Angeles Lakers,
Fri Nov 3 2017,7:30 PM,Phoenix Suns,,New York Knicks,
Fri Nov 3 2017,9:30 PM,Boston Celtics,,Oklahoma City Thunder,
Fri Nov 3 2017,7:00 PM,Chicago Bulls,,Orlando Magic,
Fri Nov 3 2017,7:00 PM,Indiana Pacers,,Philadelphia 76ers,
Fri Nov 3 2017,8:30 PM,Charlotte Hornets,,San Antonio Spurs,
Fri Nov 3 2017,9:00 PM,Toronto Raptors,,Utah Jazz,
Fri Nov 3 2017,7:00 PM,Cleveland Cavaliers,,Washington Wizards,
Sat Nov 4 2017,8:00 PM,New Orleans Pelicans,,Chicago Bulls,
Sat Nov 4 2017,9:00 PM,Golden State Warriors,,Denver Nuggets,
